Date,Unregistered,Registered,Exempt
2026-02-06,1082,2186,2584
2026-02-13,1087,2181,2584
2026-02-19,929,2260,2667
2026-02-27,910,2269,2667
2026-03-06,910,2269,2667
2026-03-12,892,2319,2667
2026-03-27,892,2319,2667
2026-04-23,916,2319,2677
2026-05-01,894,2380,2677
2026-05-19,130,1721,2436
