data_source,date,group,count
SenNet Blocks,2026-07-02,Registered,2345
SenNet Blocks,2026-07-31,Unregistered,838
SenNet Blocks,2026-07-31,Exempt,2879
SenNet Blocks,2026-07-31,Registered,2345
CTann,2026-04-02,Unregistered,25
CTann,2026-04-02,Exempt,83
CTann,2026-04-02,Registered,7
CTann,2026-04-17,Unregistered,11
CTann,2026-04-17,Exempt,97
CTann,2026-04-17,Registered,7
CTann,2026-04-22,Unregistered,10
CTann,2026-04-22,Exempt,98
CTann,2026-04-22,Registered,8
CTann,2026-05-01,Unregistered,10
CTann,2026-05-01,Exempt,98
CTann,2026-05-01,Registered,8
CTann,2026-06-05,Unregistered,10
CTann,2026-06-05,Exempt,98
CTann,2026-06-05,Registered,47
CTann,2026-07-03,Unregistered,10
CTann,2026-07-03,Exempt,98
CTann,2026-07-03,Registered,47
CTann,2026-07-31,Unregistered,10
CTann,2026-07-31,Exempt,98
CTann,2026-07-31,Registered,47
KPMP Healthy,2026-01-01,Unregistered,0
KPMP Healthy,2026-01-01,Exempt,0
KPMP Healthy,2026-01-01,Registered,1062
KPMP Healthy,2026-03-01,Unregistered,0
KPMP Healthy,2026-03-01,Exempt,0
KPMP Healthy,2026-03-01,Registered,1062
KPMP Healthy,2026-07-01,Unregistered,0
KPMP Healthy,2026-07-01,Exempt,0
KPMP Healthy,2026-07-01,Registered,805
KPMP Healthy,2026-07-31,Unregistered,0
KPMP Healthy,2026-07-31,Exempt,0
KPMP Healthy,2026-07-31,Registered,805
KPMP Unhealthy,2026-01-01,Unregistered,0
KPMP Unhealthy,2026-01-01,Exempt,0
KPMP Unhealthy,2026-01-01,Registered,11510
KPMP Unhealthy,2026-03-01,Unregistered,0
KPMP Unhealthy,2026-03-01,Exempt,0
KPMP Unhealthy,2026-03-01,Registered,11510
KPMP Unhealthy,2026-07-01,Unregistered,694
KPMP Unhealthy,2026-07-01,Exempt,0
KPMP Unhealthy,2026-07-01,Registered,11510
CIFAR,2026-04-01,Unregistered,0
CIFAR,2026-04-01,Exempt,0
CIFAR,2026-04-01,Registered,110
CIFAR,2026-05-01,Unregistered,0
CIFAR,2026-05-01,Exempt,0
CIFAR,2026-05-01,Registered,116
CIFAR,2026-06-05,Unregistered,0
CIFAR,2026-06-05,Exempt,0
CIFAR,2026-06-05,Registered,116
CIFAR,2026-07-03,Unregistered,0
CIFAR,2026-07-03,Exempt,0
CIFAR,2026-07-03,Registered,116
CIFAR,2026-07-31,Unregistered,0
CIFAR,2026-07-31,Exempt,0
CIFAR,2026-07-31,Registered,116
OMAP,2026-02-06,Unregistered,5
OMAP,2026-02-06,Exempt,27
OMAP,2026-02-06,Registered,5
OMAP,2026-03-06,Unregistered,5
OMAP,2026-03-06,Exempt,27
OMAP,2026-03-06,Registered,5
OMAP,2026-04-03,Unregistered,5
OMAP,2026-04-03,Exempt,27
OMAP,2026-04-03,Registered,5
OMAP,2026-05-01,Unregistered,5
OMAP,2026-05-01,Exempt,27
OMAP,2026-05-01,Registered,5
OMAP,2026-06-01,Unregistered,6
OMAP,2026-06-01,Exempt,18
OMAP,2026-06-01,Registered,14
OMAP,2026-07-03,Unregistered,6
OMAP,2026-07-03,Exempt,18
OMAP,2026-07-03,Registered,14
OMAP,2026-07-31,Unregistered,6
OMAP,2026-07-31,Exempt,18
OMAP,2026-07-31,Registered,14
MOSDAP,2026-05-01,Unregistered,200
MOSDAP,2026-05-01,Exempt,0
MOSDAP,2026-05-01,Registered,0
MOSDAP,2026-06-04,Unregistered,190
MOSDAP,2026-06-04,Exempt,0
MOSDAP,2026-06-04,Registered,10
MOSDAP,2026-06-12,Unregistered,176
MOSDAP,2026-06-12,Exempt,0
MOSDAP,2026-06-12,Registered,24
MOSDAP,2026-06-19,Unregistered,176
MOSDAP,2026-06-19,Exempt,0
MOSDAP,2026-06-19,Registered,24
MOSDAP,2026-06-26,Unregistered,176
MOSDAP,2026-06-26,Exempt,0
MOSDAP,2026-06-26,Registered,24
MOSDAP,2026-07-31,Unregistered,153
MOSDAP,2026-07-31,Exempt,0
MOSDAP,2026-07-31,Registered,47
SWAT,2026-02-06,Unregistered,100
SWAT,2026-02-06,Exempt,38
SWAT,2026-02-06,Registered,152
SWAT,2026-03-06,Unregistered,100
SWAT,2026-03-06,Exempt,38
SWAT,2026-03-06,Registered,152
SWAT,2026-04-03,Unregistered,100
SWAT,2026-04-03,Exempt,38
SWAT,2026-04-03,Registered,152
SWAT,2026-05-01,Unregistered,80
SWAT,2026-05-01,Exempt,38
SWAT,2026-05-01,Registered,172
SWAT,2026-06-01,Unregistered,75
SWAT,2026-06-01,Exempt,38
SWAT,2026-06-01,Registered,177
SWAT,2026-07-03,Unregistered,75
SWAT,2026-07-03,Exempt,38
SWAT,2026-07-03,Registered,177
CDE,2026-06-05,Unregistered,0
CDE,2026-06-05,Exempt,211
CDE,2026-06-05,Registered,218
CDE,2026-07-03,Unregistered,0
CDE,2026-07-03,Exempt,211
CDE,2026-07-03,Registered,218
CDE,2026-07-31,Unregistered,0
CDE,2026-07-31,Exempt,211
CDE,2026-07-31,Registered,218
